Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca0006-il-100000-n5
Airfoil,naca0006-il
Reynolds number,100000
Ncrit,5
Mach,0
Max Cl/Cd,27.2629
Max Cl/Cd alpha,2.5
Url,http://airfoiltools.com/polar/csv?polar=xf-naca0006-il-100000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.250,-0.6995,0.10224,0.09745,0.0211,1.0000,0.0229
-9.000,-0.7022,0.09655,0.09181,0.0176,1.0000,0.0221
-8.750,-0.7090,0.08879,0.08413,0.0114,1.0000,0.0208
-8.250,-0.7104,0.07387,0.06910,-0.0025,1.0000,0.0191
-8.000,-0.7123,0.06820,0.06332,-0.0054,1.0000,0.0190
-7.750,-0.7120,0.06261,0.05755,-0.0076,1.0000,0.0189
-7.500,-0.7090,0.05714,0.05184,-0.0091,1.0000,0.0188
-7.250,-0.7031,0.05182,0.04619,-0.0099,1.0000,0.0187
-7.000,-0.6940,0.04670,0.04066,-0.0102,1.0000,0.0187
-6.750,-0.6816,0.04192,0.03538,-0.0101,1.0000,0.0187
-6.500,-0.6661,0.03759,0.03047,-0.0095,1.0000,0.0189
-6.250,-0.6476,0.03385,0.02611,-0.0087,1.0000,0.0192
-6.000,-0.6294,0.03014,0.02202,-0.0082,1.0000,0.0207
-5.750,-0.6074,0.02824,0.01985,-0.0077,1.0000,0.0233
-5.500,-0.5836,0.02570,0.01686,-0.0068,1.0000,0.0252
-5.250,-0.5588,0.02335,0.01410,-0.0059,1.0000,0.0273
-5.000,-0.5342,0.02158,0.01202,-0.0051,1.0000,0.0316
-4.750,-0.5101,0.02008,0.01042,-0.0044,1.0000,0.0363
-4.500,-0.4864,0.01870,0.00895,-0.0036,1.0000,0.0439
-4.250,-0.4623,0.01759,0.00772,-0.0028,1.0000,0.0529
-4.000,-0.4381,0.01668,0.00675,-0.0022,1.0000,0.0665
-3.750,-0.4138,0.01581,0.00576,-0.0015,1.0000,0.0788
-3.500,-0.3897,0.01491,0.00501,-0.0010,1.0000,0.1077
-3.250,-0.3665,0.01377,0.00432,-0.0004,1.0000,0.1958
-3.000,-0.3440,0.01274,0.00387,0.0002,1.0000,0.3396
-2.750,-0.3214,0.01195,0.00353,0.0012,1.0000,0.4711
-2.500,-0.3019,0.01107,0.00344,0.0034,1.0000,0.6531
-2.250,-0.2799,0.01060,0.00354,0.0064,1.0000,0.8245
-1.750,-0.1919,0.01053,0.00325,0.0014,1.0000,0.9630
-1.500,-0.1418,0.01045,0.00299,-0.0034,1.0000,0.9909
-1.250,-0.1078,0.01034,0.00275,-0.0050,1.0000,1.0000
-1.000,-0.0859,0.01026,0.00258,-0.0042,1.0000,1.0000
-0.750,-0.0642,0.01020,0.00246,-0.0032,1.0000,1.0000
-0.500,-0.0427,0.01015,0.00237,-0.0022,1.0000,1.0000
-0.250,-0.0213,0.01013,0.00231,-0.0011,1.0000,1.0000
0.000,0.0000,0.01012,0.00230,0.0000,1.0000,1.0000
0.250,0.0213,0.01013,0.00231,0.0011,1.0000,1.0000
0.500,0.0427,0.01015,0.00237,0.0022,1.0000,1.0000
0.750,0.0642,0.01020,0.00246,0.0032,1.0000,1.0000
1.000,0.0859,0.01026,0.00258,0.0042,1.0000,1.0000
1.250,0.1078,0.01034,0.00274,0.0050,1.0000,1.0000
1.500,0.1418,0.01045,0.00299,0.0034,0.9909,1.0000
1.750,0.1919,0.01053,0.00325,-0.0014,0.9631,1.0000
2.250,0.2799,0.01060,0.00354,-0.0064,0.8248,1.0000
2.500,0.3018,0.01107,0.00344,-0.0034,0.6534,1.0000
2.750,0.3213,0.01195,0.00353,-0.0011,0.4714,1.0000
3.000,0.3439,0.01274,0.00387,-0.0002,0.3399,1.0000
3.250,0.3664,0.01377,0.00432,0.0004,0.1960,1.0000
3.500,0.3896,0.01490,0.00501,0.0010,0.1078,1.0000
3.750,0.4137,0.01581,0.00576,0.0015,0.0789,1.0000
4.000,0.4381,0.01668,0.00675,0.0022,0.0665,1.0000
4.250,0.4622,0.01759,0.00772,0.0028,0.0529,1.0000
4.500,0.4863,0.01870,0.00895,0.0036,0.0439,1.0000
4.750,0.5101,0.02008,0.01042,0.0044,0.0363,1.0000
5.000,0.5342,0.02159,0.01202,0.0051,0.0316,1.0000
5.250,0.5588,0.02336,0.01410,0.0058,0.0273,1.0000
5.500,0.5836,0.02570,0.01686,0.0068,0.0252,1.0000
5.750,0.6075,0.02824,0.01985,0.0077,0.0233,1.0000
6.000,0.6295,0.03015,0.02203,0.0082,0.0207,1.0000
6.250,0.6476,0.03386,0.02612,0.0087,0.0192,1.0000
6.500,0.6662,0.03760,0.03048,0.0095,0.0189,1.0000
6.750,0.6817,0.04193,0.03539,0.0100,0.0187,1.0000
7.000,0.6941,0.04672,0.04068,0.0102,0.0187,1.0000
7.250,0.7032,0.05183,0.04621,0.0099,0.0187,1.0000
7.500,0.7092,0.05716,0.05186,0.0090,0.0188,1.0000
7.750,0.7122,0.06264,0.05758,0.0075,0.0189,1.0000
8.000,0.7125,0.06823,0.06335,0.0053,0.0190,1.0000
8.250,0.7107,0.07392,0.06915,0.0024,0.0191,1.0000
8.750,0.6046,0.07599,0.07155,-0.0017,0.0209,1.0000
9.000,0.5924,0.08296,0.07846,-0.0051,0.0216,1.0000
9.250,0.5834,0.08901,0.08447,-0.0076,0.0223,1.0000
